id,original,file,av,category,result
0,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Bkav,undetected,None
1,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Lionic,undetected,None
2,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Elastic,undetected,None
3,less,/home/alex/Projects/MKPKResults/bin/less/less_original,MicroWorld-eScan,undetected,None
4,less,/home/alex/Projects/MKPKResults/bin/less/less_original,CMC,undetected,None
5,less,/home/alex/Projects/MKPKResults/bin/less/less_original,CAT-QuickHeal,undetected,None
6,less,/home/alex/Projects/MKPKResults/bin/less/less_original,ALYac,undetected,None
7,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Malwarebytes,undetected,None
8,less,/home/alex/Projects/MKPKResults/bin/less/less_original,VIPRE,undetected,None
9,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Paloalto,type-unsupported,None
10,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Sangfor,undetected,None
11,less,/home/alex/Projects/MKPKResults/bin/less/less_original,K7AntiVirus,undetected,None
12,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Alibaba,type-unsupported,None
13,less,/home/alex/Projects/MKPKResults/bin/less/less_original,K7GW,undetected,None
14,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Trustlook,type-unsupported,None
15,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Arcabit,undetected,None
16,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Baidu,undetected,None
17,less,/home/alex/Projects/MKPKResults/bin/less/less_original,VirIT,undetected,None
18,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Cyren,undetected,None
19,less,/home/alex/Projects/MKPKResults/bin/less/less_original,SymantecMobileInsight,type-unsupported,None
20,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Symantec,undetected,None
21,less,/home/alex/Projects/MKPKResults/bin/less/less_original,tehtris,type-unsupported,None
22,less,/home/alex/Projects/MKPKResults/bin/less/less_original,ESET-NOD32,undetected,None
23,less,/home/alex/Projects/MKPKResults/bin/less/less_original,APEX,type-unsupported,None
24,less,/home/alex/Projects/MKPKResults/bin/less/less_original,TrendMicro-HouseCall,undetected,None
25,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Avast,undetected,None
26,less,/home/alex/Projects/MKPKResults/bin/less/less_original,ClamAV,undetected,None
27,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Kaspersky,undetected,None
28,less,/home/alex/Projects/MKPKResults/bin/less/less_original,BitDefender,undetected,None
29,less,/home/alex/Projects/MKPKResults/bin/less/less_original,NANO-Antivirus,undetected,None
30,less,/home/alex/Projects/MKPKResults/bin/less/less_original,ViRobot,undetected,None
31,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Tencent,undetected,None
32,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Sophos,undetected,None
33,less,/home/alex/Projects/MKPKResults/bin/less/less_original,F-Secure,undetected,None
34,less,/home/alex/Projects/MKPKResults/bin/less/less_original,DrWeb,undetected,None
35,less,/home/alex/Projects/MKPKResults/bin/less/less_original,Zillya,undetected,None
